time,NewID,FCH4_count,nbar1,nbar2,nbar3,nbar4,nbar5,nbar6,nbar7,sm_s_wetness,sm_r_wetness,sm_p_wetness,pa,tas,spfh,ts1,ts2,ts3,rsds,rsdl,le,h,dem,slope,cti,spi,FCH4_mean
2016-04-12,CASCC,28,5811.0,5824.0,5549.0,5799.0,2593.0,859.0,355.0,0.5240668654441833,0.601670503616333,0.5738492608070374,97.6218515625,-7.419378757476807,0.002121887868270278,-4.2125306,-3.8156495,-3.1280885,11019430.37109375,22012018.9453125,22.561636,6.2846975,284.9738464355469,0.23087897896766665,-0.7262166738510132,0.00023992915521375835,4.609357142857143
2016-04-13,CASCC,16,5838.0,5848.0,5576.0,5830.0,2770.0,859.0,392.0,0.5296707153320312,0.6016661524772644,0.5738881826400757,97.8860078125,-7.9163269996643075,0.0020062557887285948,-3.9532838,-3.7626405,-3.1714845,9868127.34375,22637473.2421875,26.72132,5.8597445,284.9738464355469,0.23087897896766665,-0.7262166738510132,0.00023992915521375835,16.115000000000002
2016-04-14,CASCC,15,5721.0,5703.0,5454.0,5720.0,2668.0,855.0,397.0,0.5288131237030029,0.6017482280731201,0.5739037990570068,98.07553125,-9.610204696655273,0.0016627864679321649,-3.6382203,-3.4451050000000003,-3.0888124,15795184.5703125,20129018.5546875,33.145836,12.187859,284.9738464355469,0.23087897896766665,-0.7262166738510132,0.00023992915521375835,3.211266666666667
2016-04-15,CASCC,46,5721.0,5699.0,5457.0,5722.0,2663.0,856.0,397.0,0.5331785082817078,0.6017771363258362,0.5739536285400391,98.040984375,-6.8453125953674325,0.0022045301739126444,-4.135107499999998,-3.678534,-3.0572267,16170412.5,20856673.828125,36.170174,7.069144199999998,284.9738464355469,0.23087897896766665,-0.7262166738510132,0.00023992915521375835,6.63391304347826
2016-04-16,CASCC,35,5654.0,5554.0,5402.0,5669.0,2382.0,829.0,391.0,0.5460392236709595,0.6023793220520021,0.5742683410644531,97.986703125,-2.2108521461486816,0.003279297845438123,-4.4588685,-3.968329,-3.1597047000000003,15647899.21875,23328256.640625,12.791355,-3.4571657,284.9738464355469,0.23087897896766665,-0.7262166738510132,0.00023992915521375835,5.768857142857143
2016-04-17,CASCC,27,5654.0,5556.0,5402.0,5670.0,2386.0,831.0,394.0,0.6092870235443115,0.6116183400154114,0.581500768661499,98.3380546875,-0.4553588926792145,0.003493131371214986,-3.5347352,-3.597815,-3.195685,16180321.2890625,23739526.7578125,12.376298,-0.33081454,284.9738464355469,0.23087897896766665,-0.7262166738510132,0.00023992915521375835,3.4079259259259267
2016-04-18,CASCC,35,5575.0,5420.0,5344.0,5605.0,2296.0,590.0,377.0,0.6452120542526245,0.625342607498169,0.5927873849868774,97.6676015625,2.922479152679444,0.00434291223064065,-3.6739564,-3.3233705,-3.0214295,10483008.3984375,25730006.8359375,-5.734318,-21.091387,284.9738464355469,0.23087897896766665,-0.7262166738510132,0.00023992915521375835,8.349142857142859
2016-04-21,CASCC,47,5165.0,5029.0,4940.0,5186.0,1780.0,459.0,340.0,0.5993229150772095,0.6360767483711243,0.6041101813316345,99.07790625,-5.417791843414307,0.001951965503394604,-3.5123353,-3.1528382,-2.6907105,19581176.953125,19413462.3046875,46.94463,56.537395,284.9738464355469,0.23087897896766665,-0.7262166738510132,0.00023992915521375835,4.2762553191489365
2016-04-22,CASCC,47,5153.0,5014.0,4928.0,5174.0,1763.0,457.0,337.0,0.5853986740112305,0.6356455087661743,0.6041099429130554,98.9569765625,-4.531317234039307,0.002211413346230984,-3.3771424,-3.2110658,-2.7506470000000003,15252148.828125,20701309.5703125,36.801918,32.147853999999995,284.9738464355469,0.23087897896766665,-0.7262166738510132,0.00023992915521375835,6.164468085106383
2016-04-23,CASCC,48,5141.0,4998.0,4916.0,5163.0,1747.0,456.0,335.0,0.5959169864654541,0.6361269354820251,0.6045705080032349,98.257875,-1.154638648033142,0.0029225393664091825,-2.5011659,-2.7144532000000003,-2.6643739,14865314.0625,22708555.6640625,34.7831,13.898088,284.9738464355469,0.23087897896766665,-0.7262166738510132,0.00023992915521375835,4.9034375
2016-04-24,CASCC,40,5072.0,4918.0,4844.0,5094.0,1390.0,414.0,307.0,0.6446263194084167,0.6464559435844421,0.6127532124519348,97.794828125,0.5266662836074829,0.0036557193379849204,-1.3836426000000002,-1.8882507,-2.3461976000000004,11717265.234375,24711683.203125,21.277683,16.539518,284.9738464355469,0.23087897896766665,-0.7262166738510132,0.00023992915521375835,7.487050000000001
2016-04-25,CASCC,38,4851.0,4689.0,4631.0,4805.0,1368.0,420.0,333.0,0.6941554546356201,0.6601933836936951,0.6241235136985779,97.8101328125,1.4633117914199831,0.0038184192962944508,-1.4050049,-1.6544555,-1.9752868,14760175.78125,24308528.90625,22.04934,20.225508,284.9738464355469,0.23087897896766665,-0.7262166738510132,0.00023992915521375835,3.3611315789473672
2016-04-26,CASCC,45,4837.0,4677.0,4622.0,4783.0,1369.0,422.0,333.0,0.7142810821533203,0.6862466335296631,0.6460094451904297,97.63303125,3.9311156272888175,0.0044002593494951725,-0.34232178,-1.2929748,-1.7175659,12280788.28125,25106554.6875,21.722918,10.677331,284.9738464355469,0.23087897896766665,-0.7262166738510132,0.00023992915521375835,3.930222222222224
2016-04-27,CASCC,45,4832.0,4674.0,4610.0,4769.0,1365.0,425.0,333.0,0.7392067313194275,0.7006852626800537,0.6594030857086182,97.9702734375,4.655389308929443,0.0045875473879277715,1.2640015,-0.8451904,-1.3992981000000002,16637407.03125,25530709.5703125,43.34254,29.172554,284.9738464355469,0.23087897896766665,-0.7262166738510132,0.00023992915521375835,4.286133333333333
2016-04-28,CASCC,41,4826.0,4670.0,4597.0,4754.0,1361.0,427.0,333.0,0.7718864679336548,0.7328288555145264,0.6872453689575195,97.74078125,7.461236476898192,0.004868657328188418,3.3323607,-0.3178772,-1.0601867,19471014.84375,24963790.4296875,55.085327,29.513302000000003,284.9738464355469,0.23087897896766665,-0.7262166738510132,0.00023992915521375835,1.1009268292682928
